"timeMillisSpent","score"
182,"-10hard/-184soft"
185,"-9hard/-188soft"
188,"-8hard/-442soft"
198,"-7hard/-939soft"
212,"-6hard/-1589soft"
225,"-6hard/-1586soft"
225,"-6hard/-1583soft"
227,"-6hard/-1564soft"
238,"-6hard/-1501soft"
247,"-6hard/-1427soft"
248,"-6hard/-1424soft"
256,"-5hard/-1662soft"
270,"-4hard/-1783soft"
273,"-4hard/-1779soft"
311,"-4hard/-1692soft"
312,"-4hard/-1639soft"
327,"-4hard/-1631soft"
348,"-3hard/-1993soft"
348,"-3hard/-1991soft"
357,"-3hard/-1956soft"
367,"-3hard/-1920soft"
370,"-3hard/-1885soft"
410,"-3hard/-1870soft"
438,"-3hard/-1856soft"
448,"-3hard/-1754soft"
450,"-3hard/-1718soft"
468,"-3hard/-1696soft"
475,"-3hard/-1643soft"
489,"-3hard/-1465soft"
512,"-3hard/-1415soft"
556,"-2hard/-1603soft"
561,"-1hard/-1658soft"
602,"0hard/-2012soft"
759,"0hard/-1615soft"
1016,"0hard/-1565soft"
1211,"0hard/-1560soft"
1213,"0hard/-1544soft"
1227,"0hard/-1543soft"
1227,"0hard/-1464soft"
1230,"0hard/-1458soft"
1231,"0hard/-1457soft"
1232,"0hard/-1455soft"
1234,"0hard/-1454soft"
1234,"0hard/-1451soft"
1240,"0hard/-1448soft"
1257,"0hard/-1415soft"
1258,"0hard/-1414soft"
1260,"0hard/-1392soft"
1275,"0hard/-1384soft"
1275,"0hard/-1355soft"
1278,"0hard/-1323soft"
1279,"0hard/-1320soft"
1280,"0hard/-1274soft"
1280,"0hard/-1271soft"
1280,"0hard/-1270soft"
1351,"0hard/-1266soft"
1351,"0hard/-1257soft"
1371,"0hard/-1254soft"
1372,"0hard/-1252soft"
1373,"0hard/-1250soft"
1376,"0hard/-1218soft"
1404,"0hard/-1201soft"
1405,"0hard/-1200soft"
1429,"0hard/-1193soft"
1429,"0hard/-1190soft"
1598,"0hard/-1179soft"
1598,"0hard/-1178soft"
1599,"0hard/-1177soft"
1601,"0hard/-1152soft"
1621,"0hard/-1140soft"
1621,"0hard/-1104soft"
1652,"0hard/-1093soft"
1696,"0hard/-1087soft"
1697,"0hard/-1045soft"
1698,"0hard/-1043soft"
1777,"0hard/-1026soft"
1778,"0hard/-1025soft"
1778,"0hard/-1024soft"
1797,"0hard/-1008soft"
1878,"0hard/-978soft"
1897,"0hard/-976soft"
1899,"0hard/-975soft"
