"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
185,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
185,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
185,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
185,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
185,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
185,"org.acme.schooltimetabling.domain","Room stability violated","32","0hard/-32soft"
185,"org.acme.schooltimetabling.domain","Room occupancy conflict","9","-9hard/0soft"
188,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
188,"org.acme.schooltimetabling.domain","Room capacity exceeded","16","0hard/-361soft"
188,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
188,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
188,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
188,"org.acme.schooltimetabling.domain","Room stability violated","81","0hard/-81soft"
188,"org.acme.schooltimetabling.domain","Room occupancy conflict","8","-8hard/0soft"
198,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
198,"org.acme.schooltimetabling.domain","Room capacity exceeded","22","0hard/-751soft"
198,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
198,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
198,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
198,"org.acme.schooltimetabling.domain","Room stability violated","188","0hard/-188soft"
198,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
212,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
212,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1333soft"
212,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
212,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
212,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
212,"org.acme.schooltimetabling.domain","Room stability violated","256","0hard/-256soft"
212,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
225,"org.acme.schooltimetabling.domain","Curriculum conflict","4","-4hard/0soft"
225,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1322soft"
225,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
225,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
225,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
225,"org.acme.schooltimetabling.domain","Room stability violated","264","0hard/-264soft"
225,"org.acme.schooltimetabling.domain","Room occupancy conflict","2","-2hard/0soft"
225,"org.acme.schooltimetabling.domain","Curriculum conflict","4","-4hard/0soft"
225,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1322soft"
225,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
225,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
225,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
225,"org.acme.schooltimetabling.domain","Room stability violated","261","0hard/-261soft"
225,"org.acme.schooltimetabling.domain","Room occupancy conflict","2","-2hard/0soft"
227,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
227,"org.acme.schooltimetabling.domain","Room capacity exceeded","31","0hard/-1298soft"
227,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
227,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
227,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
227,"org.acme.schooltimetabling.domain","Room stability violated","266","0hard/-266soft"
227,"org.acme.schooltimetabling.domain","Room occupancy conflict","2","-2hard/0soft"
238,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
238,"org.acme.schooltimetabling.domain","Room capacity exceeded","28","0hard/-1223soft"
238,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","Room stability violated","278","0hard/-278soft"
238,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
247,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
247,"org.acme.schooltimetabling.domain","Room capacity exceeded","31","0hard/-1148soft"
247,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
247,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
247,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
247,"org.acme.schooltimetabling.domain","Room stability violated","279","0hard/-279soft"
