"timeMillisSpent","scoreCalculationSpeed"
1000,93675
2000,93463
3000,97972
4000,97036
5000,98552
6000,89442
7000,98623
8000,107164
9000,89440
10000,101160
11000,106106
12000,101668
13000,106410
14000,110395
15000,110084
16000,109674
17000,111003
18000,97832
19000,112473
20000,108295
21000,106049
22000,110948
23000,103079
24000,98709
25000,109396
26000,103454
27000,94260
28000,103995
29000,98291
30000,108748
31000,110040
32000,110955
33000,111238
34000,110558
35000,108909
36000,106725
37000,95312
38000,107940
39000,107172
40000,107424
41000,104750
42001,110442
43000,109366
44000,108005
45000,106934
46000,107767
47000,113475
48000,105807
49001,107635
50000,102306
51000,100299
52000,107973
53000,105986
54000,100822
55000,100447
56000,101229
57000,109478
58000,70896
59000,106263
60000,108778
