"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
186,"org.acme.schooltimetabling.domain","Room stability violated","32","0hard/-32soft"
186,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
186,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
186,"org.acme.schooltimetabling.domain","Room occupancy conflict","9","-9hard/0soft"
186,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
186,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
186,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
189,"org.acme.schooltimetabling.domain","Room stability violated","81","0hard/-81soft"
189,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
189,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
189,"org.acme.schooltimetabling.domain","Room occupancy conflict","8","-8hard/0soft"
189,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
189,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
189,"org.acme.schooltimetabling.domain","Room capacity exceeded","16","0hard/-361soft"
236,"org.acme.schooltimetabling.domain","Room stability violated","327","0hard/-327soft"
236,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
236,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
236,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
236,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
236,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
236,"org.acme.schooltimetabling.domain","Room capacity exceeded","41","0hard/-1743soft"
237,"org.acme.schooltimetabling.domain","Room stability violated","327","0hard/-327soft"
237,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
237,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
237,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
237,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
237,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
237,"org.acme.schooltimetabling.domain","Room capacity exceeded","41","0hard/-1720soft"
239,"org.acme.schooltimetabling.domain","Room stability violated","324","0hard/-324soft"
239,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
239,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
239,"org.acme.schooltimetabling.domain","Room occupancy conflict","4","-4hard/0soft"
239,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
239,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
239,"org.acme.schooltimetabling.domain","Room capacity exceeded","42","0hard/-1701soft"
240,"org.acme.schooltimetabling.domain","Room stability violated","321","0hard/-321soft"
240,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
240,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
240,"org.acme.schooltimetabling.domain","Room occupancy conflict","3","-3hard/0soft"
240,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
240,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
240,"org.acme.schooltimetabling.domain","Room capacity exceeded","42","0hard/-1680soft"
290,"org.acme.schooltimetabling.domain","Room stability violated","322","0hard/-322soft"
290,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
290,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
290,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
