"timeMillisSpent","moveType","bestScoreDiff"
186,"ChangeMove(Lecture.room)","1hard/-4soft"
189,"ChangeMove(Lecture.room)","1hard/-254soft"
236,"ChangeMove(Lecture.room)","1hard/-1628soft"
237,"ChangeMove(Lecture.room)","0hard/23soft"
239,"ChangeMove(Lecture.room)","0hard/22soft"
240,"ChangeMove(Lecture.period)","0hard/24soft"
290,"ChangeMove(Lecture.day)","1hard/-383soft"
292,"ChangeMove(Lecture.room)","0hard/63soft"
297,"ChangeMove(Lecture.day)","0hard/25soft"
307,"ChangeMove(Lecture.period)","0hard/11soft"
307,"ChangeMove(Lecture.room)","0hard/4soft"
311,"ChangeMove(Lecture.room)","0hard/26soft"
338,"ChangeMove(Lecture.day)","0hard/68soft"
339,"ChangeMove(Lecture.room)","1hard/-8soft"
409,"ChangeMove(Lecture.room)","0hard/91soft"
571,"ChangeMove(Lecture.room)","0hard/57soft"
576,"ChangeMove(Lecture.period)","1hard/-41soft"
576,"ChangeMove(Lecture.room)","0hard/2soft"
779,"ChangeMove(Lecture.room)","0hard/9soft"
781,"ChangeMove(Lecture.day)","1hard/-136soft"
839,"ChangeMove(Lecture.room)","0hard/389soft"
1049,"ChangeMove(Lecture.period)","1hard/-651soft"
1278,"ChangeMove(Lecture.room)","0hard/258soft"
1278,"ChangeMove(Lecture.room)","0hard/1soft"
1408,"ChangeMove(Lecture.room)","0hard/246soft"
1653,"ChangeMove(Lecture.period)","0hard/65soft"
1686,"ChangeMove(Lecture.room)","0hard/58soft"
1716,"ChangeMove(Lecture.period)","1hard/-665soft"
1757,"ChangeMove(Lecture.period)","0hard/478soft"
1907,"ChangeMove(Lecture.room)","0hard/21soft"
1908,"ChangeMove(Lecture.room)","0hard/1soft"
1908,"ChangeMove(Lecture.room)","0hard/2soft"
2013,"ChangeMove(Lecture.day)","0hard/75soft"
2018,"ChangeMove(Lecture.period)","0hard/128soft"
2230,"ChangeMove(Lecture.period)","1hard/-533soft"
2231,"ChangeMove(Lecture.room)","0hard/19soft"
2470,"ChangeMove(Lecture.room)","0hard/80soft"
2835,"ChangeMove(Lecture.room)","0hard/527soft"
2901,"ChangeMove(Lecture.room)","0hard/38soft"
3362,"ChangeMove(Lecture.period)","0hard/227soft"
3363,"ChangeMove(Lecture.room)","0hard/35soft"
3363,"ChangeMove(Lecture.room)","0hard/73soft"
4629,"ChangeMove(Lecture.room)","0hard/15soft"
4748,"ChangeMove(Lecture.room)","0hard/11soft"
4749,"ChangeMove(Lecture.room)","0hard/1soft"
4922,"ChangeMove(Lecture.room)","0hard/34soft"
4923,"ChangeMove(Lecture.room)","0hard/1soft"
4923,"ChangeMove(Lecture.room)","0hard/1soft"
4959,"ChangeMove(Lecture.room)","0hard/61soft"
5394,"ChangeMove(Lecture.room)","0hard/26soft"
5604,"ChangeMove(Lecture.room)","0hard/16soft"
5604,"ChangeMove(Lecture.room)","0hard/2soft"
5905,"ChangeMove(Lecture.room)","0hard/23soft"
5906,"ChangeMove(Lecture.room)","0hard/1soft"
5953,"ChangeMove(Lecture.room)","0hard/21soft"
5954,"ChangeMove(Lecture.room)","0hard/2soft"
5954,"ChangeMove(Lecture.room)","0hard/3soft"
5967,"ChangeMove(Lecture.room)","0hard/5soft"
5967,"ChangeMove(Lecture.room)","0hard/1soft"
6024,"ChangeMove(Lecture.room)","0hard/55soft"
6024,"ChangeMove(Lecture.room)","0hard/2soft"
6089,"ChangeMove(Lecture.room)","0hard/2soft"
6091,"ChangeMove(Lecture.room)","0hard/5soft"
6091,"ChangeMove(Lecture.room)","0hard/1soft"
6091,"ChangeMove(Lecture.room)","0hard/10soft"
6092,"ChangeMove(Lecture.room)","0hard/12soft"
6092,"ChangeMove(Lecture.room)","0hard/22soft"
6627,"ChangeMove(Lecture.room)","0hard/60soft"
6628,"ChangeMove(Lecture.room)","0hard/1soft"
6896,"ChangeMove(Lecture.room)","0hard/4soft"
6897,"ChangeMove(Lecture.room)","0hard/1soft"
6898,"ChangeMove(Lecture.room)","0hard/24soft"
6899,"ChangeMove(Lecture.room)","0hard/1soft"
7103,"ChangeMove(Lecture.room)","0hard/2soft"
7199,"ChangeMove(Lecture.room)","0hard/1soft"
7207,"ChangeMove(Lecture.room)","0hard/3soft"
7404,"ChangeMove(Lecture.room)","0hard/17soft"
7509,"ChangeMove(Lecture.room)","0hard/16soft"
7587,"ChangeMove(Lecture.room)","0hard/10soft"
7611,"ChangeMove(Lecture.room)","0hard/4soft"
7612,"ChangeMove(Lecture.room)","0hard/1soft"
7612,"ChangeMove(Lecture.room)","0hard/2soft"
7698,"ChangeMove(Lecture.room)","0hard/15soft"
7700,"ChangeMove(Lecture.room)","0hard/1soft"
7797,"ChangeMove(Lecture.room)","0hard/3soft"
7799,"ChangeMove(Lecture.room)","0hard/4soft"
7799,"ChangeMove(Lecture.room)","0hard/1soft"
7828,"ChangeMove(Lecture.room)","0hard/38soft"
8125,"ChangeMove(Lecture.room)","0hard/5soft"
8298,"ChangeMove(Lecture.room)","0hard/2soft"
8298,"ChangeMove(Lecture.room)","0hard/1soft"
