"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
37072,"org.acme.schooltimetabling.domain","Room stability violated","298","0hard/-298soft"
37072,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
37072,"org.acme.schooltimetabling.domain","Room capacity exceeded","34","0hard/-1271soft"
37072,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
37072,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
37072,"org.acme.schooltimetabling.domain","Room occupancy conflict","9","-9hard/0soft"
37072,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
38470,"org.acme.schooltimetabling.domain","Room stability violated","289","0hard/-289soft"
38470,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
38470,"org.acme.schooltimetabling.domain","Room capacity exceeded","28","0hard/-794soft"
38470,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
38470,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
38470,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
38470,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
38658,"org.acme.schooltimetabling.domain","Room stability violated","315","0hard/-315soft"
38658,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
38658,"org.acme.schooltimetabling.domain","Room capacity exceeded","36","0hard/-1228soft"
38658,"org.acme.schooltimetabling.domain","Teacher conflict","1","-1hard/0soft"
38658,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
38658,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
38658,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
38658,"org.acme.schooltimetabling.domain","Room stability violated","315","0hard/-315soft"
38658,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
38658,"org.acme.schooltimetabling.domain","Room capacity exceeded","36","0hard/-1218soft"
38658,"org.acme.schooltimetabling.domain","Teacher conflict","1","-1hard/0soft"
38658,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
38658,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
38658,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
38905,"org.acme.schooltimetabling.domain","Room stability violated","301","0hard/-301soft"
38905,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
38905,"org.acme.schooltimetabling.domain","Room capacity exceeded","27","0hard/-1160soft"
38905,"org.acme.schooltimetabling.domain","Teacher conflict","1","-1hard/0soft"
38905,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
38905,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
38905,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
40345,"org.acme.schooltimetabling.domain","Room stability violated","292","0hard/-292soft"
40345,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
40345,"org.acme.schooltimetabling.domain","Room capacity exceeded","31","0hard/-1029soft"
40345,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
40345,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
40345,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
40345,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
40346,"org.acme.schooltimetabling.domain","Room stability violated","288","0hard/-288soft"
40346,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
40346,"org.acme.schooltimetabling.domain","Room capacity exceeded","31","0hard/-1029soft"
40346,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
40346,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
40346,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
40346,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
40574,"org.acme.schooltimetabling.domain","Room stability violated","279","0hard/-279soft"
40574,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
40574,"org.acme.schooltimetabling.domain","Room capacity exceeded","27","0hard/-922soft"
40574,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
40574,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
40574,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
40574,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
40574,"org.acme.schooltimetabling.domain","Room stability violated","277","0hard/-277soft"
40574,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
40574,"org.acme.schooltimetabling.domain","Room capacity exceeded","27","0hard/-922soft"
40574,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
40574,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
40574,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
40574,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
40736,"org.acme.schooltimetabling.domain","Room stability violated","293","0hard/-293soft"
40736,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
