"timeMillisSpent","scoreCalculationSpeed"
1000,30144
2000,27746
3000,39677
4000,36737
5000,40864
6000,40963
7000,41689
8000,41732
9000,43804
10000,43150
11000,42596
12000,42492
13000,38615
14000,40443
15000,42411
16000,41162
17000,45489
18000,47471
19000,46861
20000,46953
21000,47951
22000,48781
23000,49747
24000,50882
25000,51449
26000,53411
27000,54048
28000,55455
29000,51152
30000,54479
31000,55311
32000,59050
33000,59788
34000,61620
35000,61100
36000,63915
37000,64634
38000,63861
39000,67368
40000,60702
41000,58944
42000,67865
43000,74472
44000,65472
45000,77692
46000,84700
47000,88670
48000,81273
49000,88547
50000,87160
51000,92815
52000,88904
53000,93317
54000,95689
55000,98531
56000,92954
57000,104827
58000,107199
59000,108472
60000,108623
