"timeMillisSpent","score"
227,"-10hard/-184soft"
39122,"-9hard/-1630soft"
39403,"-9hard/-1498soft"
39404,"-9hard/-1497soft"
39405,"-9hard/-1455soft"
39480,"-8hard/-1518soft"
39811,"-8hard/-1248soft"
39811,"-7hard/-1248soft"
41184,"-6hard/-1488soft"
41185,"-6hard/-1462soft"
41784,"-6hard/-1306soft"
41784,"-6hard/-1305soft"
41787,"-5hard/-1322soft"
41788,"-5hard/-1321soft"
41788,"-5hard/-1319soft"
41789,"-5hard/-1317soft"
42072,"-5hard/-1289soft"
42073,"-4hard/-1324soft"
42073,"-4hard/-1322soft"
44065,"-3hard/-1353soft"
44098,"-3hard/-1308soft"
44099,"-3hard/-1306soft"
44107,"-3hard/-1269soft"
44108,"-3hard/-1259soft"
44395,"-3hard/-1062soft"
44395,"-3hard/-1059soft"
44397,"-2hard/-1081soft"
44730,"-1hard/-1176soft"
44732,"-1hard/-1175soft"
45931,"-1hard/-1123soft"
45931,"-1hard/-1112soft"
45932,"-1hard/-1111soft"
47009,"0hard/-1169soft"
47585,"0hard/-991soft"
47587,"0hard/-990soft"
47588,"0hard/-988soft"
47588,"0hard/-981soft"
47589,"0hard/-979soft"
47589,"0hard/-977soft"
47593,"0hard/-956soft"
47718,"0hard/-878soft"
47721,"0hard/-873soft"
47721,"0hard/-871soft"
47721,"0hard/-870soft"
47974,"0hard/-854soft"
47974,"0hard/-853soft"
48328,"0hard/-841soft"
48329,"0hard/-840soft"
48352,"0hard/-838soft"
48353,"0hard/-834soft"
48353,"0hard/-832soft"
48422,"0hard/-831soft"
48423,"0hard/-828soft"
48424,"0hard/-826soft"
48435,"0hard/-810soft"
48435,"0hard/-809soft"
48435,"0hard/-808soft"
48436,"0hard/-807soft"
48437,"0hard/-774soft"
48500,"0hard/-752soft"
48501,"0hard/-751soft"
48502,"0hard/-749soft"
48503,"0hard/-748soft"
48503,"0hard/-722soft"
48509,"0hard/-711soft"
48512,"0hard/-710soft"
48512,"0hard/-708soft"
48514,"0hard/-707soft"
48514,"0hard/-705soft"
48515,"0hard/-703soft"
48515,"0hard/-702soft"
48516,"0hard/-701soft"
48518,"0hard/-695soft"
48518,"0hard/-694soft"
48520,"0hard/-671soft"
48523,"0hard/-669soft"
49902,"0hard/-614soft"
49903,"0hard/-611soft"
49908,"0hard/-586soft"
50073,"0hard/-561soft"
50074,"0hard/-560soft"
50077,"0hard/-559soft"
50990,"0hard/-540soft"
50991,"0hard/-539soft"
50993,"0hard/-537soft"
50994,"0hard/-533soft"
51006,"0hard/-478soft"
51006,"0hard/-477soft"
51007,"0hard/-476soft"
51008,"0hard/-442soft"
51008,"0hard/-422soft"
51009,"0hard/-420soft"
51011,"0hard/-419soft"
51306,"0hard/-398soft"
51309,"0hard/-397soft"
51310,"0hard/-396soft"
51314,"0hard/-395soft"
51314,"0hard/-394soft"
51332,"0hard/-393soft"
51332,"0hard/-391soft"
53233,"0hard/-376soft"
53263,"0hard/-373soft"
53265,"0hard/-372soft"
53268,"0hard/-371soft"
53269,"0hard/-367soft"
53360,"0hard/-366soft"
53369,"0hard/-365soft"
53399,"0hard/-364soft"
53432,"0hard/-363soft"
53434,"0hard/-362soft"
53434,"0hard/-361soft"
53434,"0hard/-359soft"
53477,"0hard/-358soft"
53479,"0hard/-357soft"
53480,"0hard/-319soft"
53487,"0hard/-318soft"
53487,"0hard/-317soft"
53488,"0hard/-316soft"
53651,"0hard/-315soft"
53743,"0hard/-314soft"
53863,"0hard/-313soft"
53863,"0hard/-312soft"
53899,"0hard/-290soft"
53900,"0hard/-288soft"
53901,"0hard/-286soft"
53901,"0hard/-285soft"
53911,"0hard/-284soft"
54766,"0hard/-276soft"
54769,"0hard/-275soft"
54770,"0hard/-274soft"
54771,"0hard/-273soft"
54773,"0hard/-272soft"
54776,"0hard/-271soft"
54779,"0hard/-267soft"
54779,"0hard/-266soft"
54780,"0hard/-265soft"
55124,"0hard/-264soft"
55178,"0hard/-263soft"
55195,"0hard/-260soft"
55196,"0hard/-259soft"
55197,"0hard/-258soft"
55293,"0hard/-256soft"
55306,"0hard/-255soft"
55307,"0hard/-253soft"
55397,"0hard/-229soft"
55398,"0hard/-227soft"
55399,"0hard/-223soft"
55669,"0hard/-222soft"
55671,"0hard/-220soft"
55672,"0hard/-219soft"
55672,"0hard/-218soft"
56349,"0hard/-212soft"
56365,"0hard/-211soft"
56373,"0hard/-210soft"
56376,"0hard/-209soft"
56376,"0hard/-208soft"
56436,"0hard/-207soft"
56437,"0hard/-206soft"
56447,"0hard/-204soft"
56455,"0hard/-202soft"
56616,"0hard/-201soft"
57481,"0hard/-200soft"
57488,"0hard/-198soft"
57497,"0hard/-194soft"
57498,"0hard/-191soft"
57505,"0hard/-190soft"
57510,"0hard/-188soft"
57511,"0hard/-187soft"
57511,"0hard/-185soft"
57527,"0hard/-184soft"
57528,"0hard/-181soft"
57528,"0hard/-180soft"
57530,"0hard/-178soft"
57576,"0hard/-177soft"
57577,"0hard/-176soft"
57577,"0hard/-174soft"
57579,"0hard/-172soft"
57579,"0hard/-171soft"
57580,"0hard/-169soft"
57581,"0hard/-166soft"
57583,"0hard/-165soft"
57584,"0hard/-164soft"
57592,"0hard/-161soft"
58065,"0hard/-160soft"
58072,"0hard/-159soft"
58073,"0hard/-158soft"
58135,"0hard/-157soft"
58138,"0hard/-156soft"
58145,"0hard/-155soft"
58150,"0hard/-154soft"
58420,"0hard/-153soft"
58421,"0hard/-152soft"
58422,"0hard/-151soft"
58424,"0hard/-148soft"
58432,"0hard/-147soft"
58445,"0hard/-144soft"
58450,"0hard/-142soft"
58453,"0hard/-140soft"
58454,"0hard/-139soft"
