"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
217,"org.acme.schooltimetabling.domain","Room occupancy conflict","11","-11hard/0soft"
217,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
217,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
217,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
217,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
217,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
217,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
238,"org.acme.schooltimetabling.domain","Room occupancy conflict","9","-9hard/0soft"
238,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
238,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
238,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
258,"org.acme.schooltimetabling.domain","Room occupancy conflict","10","-10hard/0soft"
258,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
258,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
258,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
258,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
258,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
258,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
334,"org.acme.schooltimetabling.domain","Room occupancy conflict","8","-8hard/0soft"
334,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
334,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
334,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
334,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
334,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
334,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
366,"org.acme.schooltimetabling.domain","Room occupancy conflict","7","-7hard/0soft"
366,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
366,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
366,"org.acme.schooltimetabling.domain","Room stability violated","33","0hard/-33soft"
366,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
366,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
366,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
401,"org.acme.schooltimetabling.domain","Room occupancy conflict","7","-7hard/0soft"
401,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
401,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
401,"org.acme.schooltimetabling.domain","Room stability violated","33","0hard/-33soft"
401,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
401,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
