"timeMillisSpent","moveType","bestScoreDiff"
217,"ChangeMove(Lecture.day)","1hard/0soft"
238,"ChangeMove(Lecture.day)","1hard/0soft"
258,"ChangeMove(Lecture.day)","1hard/0soft"
334,"ChangeMove(Lecture.room)","1hard/-5soft"
366,"ChangeMove(Lecture.room)","0hard/5soft"
401,"ChangeMove(Lecture.room)","0hard/3soft"
491,"ChangeMove(Lecture.room)","0hard/22soft"
911,"ChangeMove(Lecture.day)","1hard/-1soft"
977,"ChangeMove(Lecture.room)","0hard/1soft"
1238,"ChangeMove(Lecture.period)","1hard/0soft"
1987,"ChangeMove(Lecture.room)","1hard/-5soft"
2111,"ChangeMove(Lecture.room)","0hard/1soft"
2361,"ChangeMove(Lecture.period)","1hard/0soft"
2815,"ChangeMove(Lecture.day)","1hard/-4soft"
2895,"ChangeMove(Lecture.room)","0hard/1soft"
2957,"ChangeMove(Lecture.room)","0hard/2soft"
3018,"ChangeMove(Lecture.room)","0hard/1soft"
3081,"ChangeMove(Lecture.room)","0hard/3soft"
3121,"ChangeMove(Lecture.day)","1hard/0soft"
10795,"ChangeMove(Lecture.room)","0hard/1soft"
12932,"ChangeMove(Lecture.room)","0hard/12soft"
13094,"ChangeMove(Lecture.room)","0hard/5soft"
13259,"ChangeMove(Lecture.room)","0hard/3soft"
13336,"ChangeMove(Lecture.room)","0hard/1soft"
18693,"ChangeMove(Lecture.room)","0hard/16soft"
18856,"ChangeMove(Lecture.room)","0hard/3soft"
19013,"ChangeMove(Lecture.room)","0hard/3soft"
33919,"ChangeMove(Lecture.room)","0hard/4soft"
35236,"ChangeMove(Lecture.room)","0hard/1soft"
36301,"ChangeMove(Lecture.room)","0hard/16soft"
36379,"ChangeMove(Lecture.room)","0hard/5soft"
36455,"ChangeMove(Lecture.room)","0hard/3soft"
