"timeMillisSpent","score"
217,"-10hard/-184soft"
238,"-9hard/-184soft"
258,"-8hard/-184soft"
281,"-7hard/-184soft"
306,"-7hard/-184soft"
334,"-7hard/-184soft"
366,"-6hard/-189soft"
401,"-6hard/-184soft"
438,"-6hard/-181soft"
491,"-6hard/-181soft"
559,"-6hard/-159soft"
637,"-6hard/-159soft"
810,"-6hard/-159soft"
911,"-6hard/-160soft"
977,"-5hard/-160soft"
1046,"-5hard/-159soft"
1129,"-5hard/-159soft"
1238,"-5hard/-159soft"
1321,"-4hard/-159soft"
1380,"-4hard/-160soft"
1459,"-4hard/-160soft"
1560,"-4hard/-160soft"
1635,"-4hard/-160soft"
1739,"-4hard/-160soft"
1835,"-4hard/-160soft"
1987,"-4hard/-160soft"
2111,"-3hard/-164soft"
2183,"-3hard/-163soft"
2256,"-3hard/-163soft"
2361,"-3hard/-163soft"
2423,"-2hard/-163soft"
2528,"-2hard/-163soft"
2635,"-2hard/-163soft"
2740,"-2hard/-164soft"
2815,"-2hard/-167soft"
2895,"-1hard/-167soft"
2957,"-1hard/-166soft"
3018,"-1hard/-164soft"
3081,"-1hard/-163soft"
3121,"-1hard/-160soft"
3162,"0hard/-160soft"
3206,"0hard/-160soft"
3255,"0hard/-160soft"
3323,"0hard/-160soft"
3406,"0hard/-160soft"
3458,"0hard/-160soft"
3525,"0hard/-160soft"
3630,"0hard/-160soft"
3791,"0hard/-160soft"
3944,"0hard/-164soft"
4043,"0hard/-166soft"
4141,"0hard/-166soft"
4243,"0hard/-166soft"
4345,"0hard/-166soft"
4498,"0hard/-166soft"
4658,"0hard/-166soft"
4834,"0hard/-166soft"
4955,"0hard/-166soft"
5129,"0hard/-166soft"
5331,"0hard/-163soft"
5500,"0hard/-166soft"
5602,"0hard/-171soft"
5732,"0hard/-171soft"
5832,"0hard/-171soft"
5937,"0hard/-171soft"
6107,"0hard/-171soft"
6287,"0hard/-171soft"
6485,"0hard/-166soft"
6607,"0hard/-166soft"
6792,"0hard/-166soft"
6962,"0hard/-163soft"
7134,"0hard/-166soft"
7235,"0hard/-171soft"
7331,"0hard/-171soft"
7432,"0hard/-171soft"
7545,"0hard/-171soft"
7699,"0hard/-171soft"
7856,"0hard/-171soft"
8020,"0hard/-166soft"
8115,"0hard/-166soft"
8266,"0hard/-166soft"
8428,"0hard/-163soft"
8628,"0hard/-166soft"
8731,"0hard/-171soft"
8830,"0hard/-171soft"
8934,"0hard/-171soft"
9038,"0hard/-171soft"
9197,"0hard/-171soft"
9379,"0hard/-171soft"
9558,"0hard/-172soft"
9656,"0hard/-172soft"
9832,"0hard/-172soft"
9988,"0hard/-169soft"
10157,"0hard/-164soft"
10270,"0hard/-163soft"
10370,"0hard/-163soft"
10499,"0hard/-163soft"
10614,"0hard/-163soft"
10795,"0hard/-163soft"
10970,"0hard/-159soft"
11162,"0hard/-160soft"
11266,"0hard/-159soft"
11438,"0hard/-159soft"
11599,"0hard/-159soft"
11763,"0hard/-162soft"
11862,"0hard/-167soft"
11961,"0hard/-167soft"
12063,"0hard/-167soft"
12162,"0hard/-167soft"
12316,"0hard/-167soft"
12470,"0hard/-168soft"
12632,"0hard/-168soft"
12752,"-1hard/-144soft"
12932,"-1hard/-144soft"
13094,"0hard/-147soft"
13259,"0hard/-142soft"
13336,"0hard/-139soft"
13397,"0hard/-138soft"
13469,"0hard/-138soft"
13544,"0hard/-138soft"
13635,"0hard/-138soft"
13738,"0hard/-138soft"
13861,"0hard/-138soft"
13946,"0hard/-142soft"
14115,"0hard/-142soft"
14277,"0hard/-142soft"
14462,"0hard/-145soft"
14623,"0hard/-145soft"
14743,"0hard/-142soft"
14857,"0hard/-142soft"
14961,"0hard/-142soft"
15061,"0hard/-142soft"
15217,"0hard/-142soft"
15373,"0hard/-142soft"
15473,"0hard/-146soft"
15636,"0hard/-146soft"
15793,"-1hard/-121soft"
15957,"-1hard/-124soft"
16158,"-1hard/-121soft"
16254,"-1hard/-117soft"
16355,"-1hard/-117soft"
16458,"-1hard/-117soft"
16560,"-1hard/-117soft"
16705,"-1hard/-117soft"
16865,"-1hard/-116soft"
16974,"0hard/-141soft"
17073,"0hard/-141soft"
17240,"0hard/-141soft"
17403,"0hard/-144soft"
17561,"0hard/-145soft"
17658,"0hard/-142soft"
17755,"0hard/-142soft"
17853,"0hard/-142soft"
17954,"0hard/-142soft"
18112,"0hard/-142soft"
18273,"0hard/-141soft"
18435,"0hard/-144soft"
18529,"-1hard/-119soft"
18693,"-1hard/-119soft"
18856,"0hard/-122soft"
19013,"0hard/-119soft"
19088,"0hard/-116soft"
19165,"0hard/-116soft"
19243,"0hard/-116soft"
19320,"0hard/-116soft"
19419,"0hard/-116soft"
19537,"0hard/-116soft"
19649,"0hard/-117soft"
19726,"0hard/-120soft"
19833,"0hard/-120soft"
20010,"0hard/-117soft"
20195,"0hard/-121soft"
20296,"0hard/-117soft"
20399,"0hard/-117soft"
20565,"0hard/-117soft"
20666,"0hard/-117soft"
20767,"0hard/-117soft"
20923,"0hard/-117soft"
21083,"0hard/-118soft"
21182,"0hard/-117soft"
21343,"0hard/-117soft"
21501,"0hard/-120soft"
21657,"0hard/-117soft"
21755,"0hard/-116soft"
21854,"0hard/-116soft"
22016,"0hard/-116soft"
22116,"0hard/-116soft"
22216,"0hard/-116soft"
22368,"0hard/-116soft"
22522,"0hard/-116soft"
22618,"0hard/-116soft"
22818,"0hard/-116soft"
23005,"0hard/-119soft"
23170,"0hard/-116soft"
23274,"0hard/-120soft"
23375,"0hard/-120soft"
23530,"0hard/-120soft"
23660,"0hard/-116soft"
23777,"0hard/-116soft"
23932,"0hard/-116soft"
24084,"0hard/-116soft"
24183,"0hard/-117soft"
24278,"0hard/-116soft"
24488,"0hard/-116soft"
24645,"0hard/-117soft"
24745,"0hard/-118soft"
24846,"0hard/-118soft"
25006,"0hard/-118soft"
