"timeMillisSpent","score"
213,"-10hard/-184soft"
226,"-9hard/-184soft"
236,"-8hard/-184soft"
252,"-7hard/-184soft"
286,"-7hard/-181soft"
328,"-6hard/-185soft"
355,"-6hard/-180soft"
467,"-5hard/-185soft"
538,"-4hard/-187soft"
594,"-3hard/-187soft"
602,"-2hard/-191soft"
700,"-1hard/-195soft"
707,"-1hard/-194soft"
723,"-1hard/-193soft"
889,"0hard/-195soft"
905,"0hard/-194soft"
920,"0hard/-193soft"
934,"0hard/-190soft"
940,"0hard/-185soft"
1242,"0hard/-183soft"
1718,"0hard/-161soft"
1750,"0hard/-159soft"
2367,"0hard/-157soft"
3060,"0hard/-155soft"
3520,"0hard/-151soft"
6386,"0hard/-130soft"
9683,"0hard/-109soft"
9923,"0hard/-107soft"
20820,"0hard/-88soft"
20838,"0hard/-86soft"
21092,"0hard/-85soft"
23759,"0hard/-59soft"
23854,"0hard/-58soft"
24132,"0hard/-55soft"
24371,"0hard/-53soft"
27526,"0hard/-23soft"
27748,"0hard/-18soft"
39655,"0hard/-11soft"
50877,"0hard/-6soft"
