"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
226,"org.acme.schooltimetabling.domain","Room occupancy conflict","11","-11hard/0soft"
226,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
226,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
226,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
226,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
226,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
226,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
236,"org.acme.schooltimetabling.domain","Room occupancy conflict","10","-10hard/0soft"
236,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
236,"org.acme.schooltimetabling.domain","Room stability violated","32","0hard/-32soft"
236,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
236,"org.acme.schooltimetabling.domain","Room capacity exceeded","13","0hard/-167soft"
236,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
236,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
252,"org.acme.schooltimetabling.domain","Room occupancy conflict","8","-8hard/0soft"
252,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
252,"org.acme.schooltimetabling.domain","Room stability violated","32","0hard/-32soft"
252,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
252,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
252,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
252,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
286,"org.acme.schooltimetabling.domain","Room occupancy conflict","8","-8hard/0soft"
286,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
286,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
286,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
286,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
286,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
286,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
328,"org.acme.schooltimetabling.domain","Room occupancy conflict","7","-7hard/0soft"
328,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
328,"org.acme.schooltimetabling.domain","Room stability violated","25","0hard/-25soft"
328,"org.acme.schooltimetabling.domain","Teacher conflict","1","-1hard/0soft"
328,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
328,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
328,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
355,"org.acme.schooltimetabling.domain","Room occupancy conflict","7","-7hard/0soft"
355,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
355,"org.acme.schooltimetabling.domain","Room stability violated","33","0hard/-33soft"
355,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
355,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
355,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
355,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
467,"org.acme.schooltimetabling.domain","Room occupancy conflict","7","-7hard/0soft"
467,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
467,"org.acme.schooltimetabling.domain","Room stability violated","24","0hard/-24soft"
467,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
467,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
467,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
467,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
538,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
538,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
538,"org.acme.schooltimetabling.domain","Room stability violated","34","0hard/-34soft"
538,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
538,"org.acme.schooltimetabling.domain","Room capacity exceeded","13","0hard/-201soft"
538,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
538,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
594,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
