"timeMillisSpent","scoreCalculationSpeed"
1001,111916
2001,111686
3006,100643
4005,105181
5004,107928
6008,101608
7026,79875
8004,109474
9003,112250
10005,107351
11005,107124
12005,112404
13002,115586
14006,109959
15001,115765
16006,115903
17000,114353
18001,100691
19006,106994
20006,112844
21004,111661
22002,113256
23000,109478
24003,109083
25004,115814
26007,110291
27001,115991
28002,110471
29002,112882
30006,110722
31003,100283
32005,106408
33013,103987
34004,97373
35015,98094
36007,100335
37004,101427
38005,95817
39005,109757
40008,111165
41000,112464
42010,113134
43005,107677
44005,106268
45011,107555
46007,110910
47009,109964
48006,113589
49007,108787
50008,113115
51003,113723
52002,108132
53005,110541
54006,111979
55003,105845
56003,111231
57005,112310
58010,114737
59007,114384
60000,115979
